year,year_range,name,county_subdivision,county,state,gini,moe,source
2014,2010–2014,"Dyer Brook town, Aroostook County, Maine",19210,003,23,0.3789,0.0684,ACS 5-year 2014 (B19083)
2014,2010–2014,"Mapleton town, Aroostook County, Maine",43255,003,23,0.4016,0.0450,ACS 5-year 2014 (B19083)
2014,2010–2014,"Nashville plantation, Aroostook County, Maine",48120,003,23,0.4114,0.1148,ACS 5-year 2014 (B19083)
2014,2010–2014,"Oxbow plantation, Aroostook County, Maine",56205,003,23,0.2590,0.0856,ACS 5-year 2014 (B19083)
2014,2010–2014,"Grand Isle town, Aroostook County, Maine",28590,003,23,0.4128,0.0351,ACS 5-year 2014 (B19083)
2014,2010–2014,"Monticello town, Aroostook County, Maine",46685,003,23,0.3616,0.0447,ACS 5-year 2014 (B19083)
2014,2010–2014,"St. Agatha town, Aroostook County, Maine",64780,003,23,0.3960,0.0340,ACS 5-year 2014 (B19083)
2014,2010–2014,"Stockholm town, Aroostook County, Maine",74405,003,23,0.4542,0.0520,ACS 5-year 2014 (B19083)
2014,2010–2014,"Wallagrass town, Aroostook County, Maine",79865,003,23,0.4023,0.0471,ACS 5-year 2014 (B19083)
2014,2010–2014,"Allagash town, Aroostook County, Maine",00800,003,23,0.3983,0.0548,ACS 5-year 2014 (B19083)
2014,2010–2014,"New Sweden town, Aroostook County, Maine",49415,003,23,0.4061,0.0373,ACS 5-year 2014 (B19083)
2014,2010–2014,"Island Falls town, Aroostook County, Maine",35065,003,23,0.4164,0.0553,ACS 5-year 2014 (B19083)
2014,2010–2014,"Littleton town, Aroostook County, Maine",40595,003,23,0.3455,0.0400,ACS 5-year 2014 (B19083)
2014,2010–2014,"Masardis town, Aroostook County, Maine",43990,003,23,0.3680,0.0494,ACS 5-year 2014 (B19083)
2014,2010–2014,"Portage Lake town, Aroostook County, Maine",60300,003,23,0.3721,0.0410,ACS 5-year 2014 (B19083)
2014,2010–2014,"Presque Isle city, Aroostook County, Maine",60825,003,23,0.4618,0.0498,ACS 5-year 2014 (B19083)
2014,2010–2014,"Reed plantation, Aroostook County, Maine",62400,003,23,0.3088,0.0516,ACS 5-year 2014 (B19083)
2014,2010–2014,"St. Francis town, Aroostook County, Maine",65025,003,23,0.4925,0.0548,ACS 5-year 2014 (B19083)
2014,2010–2014,"Bancroft town, Aroostook County, Maine",02760,003,23,0.3602,0.0827,ACS 5-year 2014 (B19083)
2014,2010–2014,"Blaine town, Aroostook County, Maine",05385,003,23,0.3518,0.0408,ACS 5-year 2014 (B19083)
2014,2010–2014,"Caribou city, Aroostook County, Maine",10565,003,23,0.4927,0.0343,ACS 5-year 2014 (B19083)
2014,2010–2014,"Eagle Lake town, Aroostook County, Maine",19420,003,23,0.4602,0.0349,ACS 5-year 2014 (B19083)
2014,2010–2014,"Cary plantation, Aroostook County, Maine",11020,003,23,0.4390,0.0904,ACS 5-year 2014 (B19083)
2014,2010–2014,"Castle Hill town, Aroostook County, Maine",11300,003,23,0.3281,0.0462,ACS 5-year 2014 (B19083)
2014,2010–2014,"Connor UT, Aroostook County, Maine",13900,003,23,0.4154,0.0752,ACS 5-year 2014 (B19083)
2014,2010–2014,"Fort Fairfield town, Aroostook County, Maine",25615,003,23,0.5247,0.0656,ACS 5-year 2014 (B19083)
2014,2010–2014,"Hodgdon town, Aroostook County, Maine",33385,003,23,0.4208,0.0402,ACS 5-year 2014 (B19083)
2014,2010–2014,"Houlton town, Aroostook County, Maine",33980,003,23,0.4356,0.0273,ACS 5-year 2014 (B19083)
2014,2010–2014,"Oakfield town, Aroostook County, Maine",54385,003,23,0.4040,0.0499,ACS 5-year 2014 (B19083)
2014,2010–2014,"Van Buren town, Aroostook County, Maine",78570,003,23,0.4759,0.0290,ACS 5-year 2014 (B19083)
2014,2010–2014,"Westmanland town, Aroostook County, Maine",83540,003,23,0.3928,0.1184,ACS 5-year 2014 (B19083)
2014,2010–2014,"Woodland town, Aroostook County, Maine",87215,003,23,0.4171,0.0716,ACS 5-year 2014 (B19083)
2014,2010–2014,"Chapman town, Aroostook County, Maine",12000,003,23,0.3239,0.0545,ACS 5-year 2014 (B19083)
2014,2010–2014,"Ludlow town, Aroostook County, Maine",41715,003,23,0.3571,0.0498,ACS 5-year 2014 (B19083)
2014,2010–2014,"Sherman town, Aroostook County, Maine",67790,003,23,0.3863,0.0349,ACS 5-year 2014 (B19083)
2014,2010–2014,"Pownal town, Cumberland County, Maine",60685,005,23,0.3712,0.0431,ACS 5-year 2014 (B19083)
2014,2010–2014,"Easton town, Aroostook County, Maine",21380,003,23,0.4513,0.0458,ACS 5-year 2014 (B19083)
2014,2010–2014,"Yarmouth town, Cumberland County, Maine",87845,005,23,0.4794,0.0432,ACS 5-year 2014 (B19083)
2014,2010–2014,"Freeport town, Cumberland County, Maine",26525,005,23,0.4418,0.0345,ACS 5-year 2014 (B19083)
2014,2010–2014,"New Gloucester town, Cumberland County, Maine",48820,005,23,0.3622,0.0327,ACS 5-year 2014 (B19083)
2014,2010–2014,"Glenwood plantation, Aroostook County, Maine",27855,003,23,-666666666.0000,-222222222.0000,ACS 5-year 2014 (B19083)
2014,2010–2014,"Hamlin town, Aroostook County, Maine",30690,003,23,0.3613,0.1090,ACS 5-year 2014 (B19083)
2014,2010–2014,"New Portland town, Somerset County, Maine",49205,025,23,0.3742,0.0431,ACS 5-year 2014 (B19083)
2014,2010–2014,"Palmyra town, Somerset County, Maine",56520,025,23,0.4008,0.0430,ACS 5-year 2014 (B19083)
2014,2010–2014,"Embden town, Somerset County, Maine",23410,025,23,0.4555,0.0910,ACS 5-year 2014 (B19083)
2014,2010–2014,"Northwest Somerset UT, Somerset County, Maine",53636,025,23,0.0404,0.0315,ACS 5-year 2014 (B19083)
2014,2010–2014,"St. Albans town, Somerset County, Maine",64850,025,23,0.3711,0.0411,ACS 5-year 2014 (B19083)
2014,2010–2014,"Madison town, Somerset County, Maine",42660,025,23,0.4540,0.0575,ACS 5-year 2014 (B19083)
2014,2010–2014,"Anson town, Somerset County, Maine",01395,025,23,0.3913,0.0386,ACS 5-year 2014 (B19083)
2014,2010–2014,"Dennistown plantation, Somerset County, Maine",17285,025,23,0.0578,0.0189,ACS 5-year 2014 (B19083)
2014,2010–2014,"Hartland town, Somerset County, Maine",31740,025,23,0.4607,0.0341,ACS 5-year 2014 (B19083)
2014,2010–2014,"Moscow town, Somerset County, Maine",47455,025,23,0.3670,0.0470,ACS 5-year 2014 (B19083)
2014,2010–2014,"Seboomook Lake UT, Somerset County, Maine",67238,025,23,-666666666.0000,-222222222.0000,ACS 5-year 2014 (B19083)
2014,2010–2014,"Gouldsboro town, Hancock County, Maine",28450,009,23,0.4350,0.0519,ACS 5-year 2014 (B19083)
2014,2010–2014,"Northwest Hancock UT, Hancock County, Maine",53620,009,23,-666666666.0000,-222222222.0000,ACS 5-year 2014 (B19083)
2014,2010–2014,"Deer Isle town, Hancock County, Maine",17145,009,23,0.4717,0.0378,ACS 5-year 2014 (B19083)
2014,2010–2014,"Hancock town, Hancock County, Maine",30970,009,23,0.4279,0.0432,ACS 5-year 2014 (B19083)
2014,2010–2014,"Sorrento town, Hancock County, Maine",69750,009,23,0.4078,0.1218,ACS 5-year 2014 (B19083)
