year,year_range,name,state,gini,moe,source
2014,2010–2014,Maine,23,0.4490,0.0039,ACS 5-year 2014 (B19083)
2015,2011–2015,Maine,23,0.4516,0.0040,ACS 5-year 2015 (B19083)
2016,2012–2016,Maine,23,0.4515,0.0038,ACS 5-year 2016 (B19083)
2017,2013–2017,Maine,23,0.4529,0.0038,ACS 5-year 2017 (B19083)
2018,2014–2018,Maine,23,0.4527,0.0035,ACS 5-year 2018 (B19083)
2019,2015–2019,Maine,23,0.4511,0.0041,ACS 5-year 2019 (B19083)
2020,2016–2020,Maine,23,0.4493,0.0040,ACS 5-year 2020 (B19083)
2021,2017–2021,Maine,23,0.4541,0.0038,ACS 5-year 2021 (B19083)
2022,2018–2022,Maine,23,0.4566,0.0041,ACS 5-year 2022 (B19083)
2023,2019–2023,Maine,23,0.4567,0.0036,ACS 5-year 2023 (B19083)
2024,2020–2024,Maine,23,0.4560,0.0041,ACS 5-year 2024 (B19083)
